Name,Company,Role,Source
Margaret Koziel,Boston Pharmaceuticals,Chief Medical Officer,https://www.bostonpharmaceuticals.com/mgmt-margaret-koziel
Margaret Koziel,"Innoviva Specialty Therapeutics, Inc.",Chief Medical Officer,https://www.citybiz.co/article/564206/boston-pharmaceuticals-appoints-dr-margaret-koziel-as-chief-medical-officer/
Margaret Koziel,"Axcella Therapeutics, Inc.",Chief Medical Officer,https://markets.financialcontent.com/lightport.lightport8/article/bizwire-2021-12-6-axcella-therapeutics-promotes-margaret-koziel-md-to-chief-medical-officer
