Name,Company,Role,Source
Ganesh Raj,Etira,"Founder, Chief Medical Officer & Chief Scientific Officer",https://etira.life/our-team/ganesh-raj-md-phd/
Jack Tsao,Isaac Health,Provider (Behavioral Neurologist),https://isaac.health/team/jack-tsao/
Jean-Pierre Issa,Epigen Oncology,President & Chief Scientific Officer,https://epigenonco.com/leadership/
Joseph Goldstein,"Regeneron Pharmaceuticals, Inc.",Board Member (Director since 1991),https://investor.regeneron.com/board-directors/joseph-goldstein
Joseph Goldstein,"Genentech, Inc.",Scientific Advisory Board Member,https://www.broadinstitute.org/bios/joseph-l-goldstein-md
Joseph Goldstein,GlaxoSmithKline,Scientific Advisory Board Member,https://www.crick.ac.uk/about-us/leadership-structure/board/scientific-advisory-board/joseph-l-goldstein
Joseph Goldstein,Five Prime Therapeutics,Scientific Advisory Board Member,https://www.crick.ac.uk/about-us/leadership-structure/board/scientific-advisory-board/joseph-l-goldstein
