Name,Company,Role,Source
Stephen Gottschalk,Be Biopharma,Scientific Advisory Board Member,https://www.healio.com/news/hematology-oncology/podcasts/oncology-overdrive/episode-83
Stephen Gottschalk,CARGO Therapeutics,Scientific Advisory Board Member,https://www.healio.com/news/hematology-oncology/podcasts/oncology-overdrive/episode-83
Stephen Gottschalk,Immatics,Data and Safety Monitoring Board Member,https://www.healio.com/news/hematology-oncology/podcasts/oncology-overdrive/episode-83
Sudhir Shah,Sterling Hospitals,Director of Neurosciences,https://en.wikipedia.org/wiki/Sudhir_V._Shah
