Name,Company,Role,Source
Robert Baloh,AcuraStem,Scientific Advisory Board Member,https://acurastem.com/blog/acurastem-announces-first-scientific-board-advisors
Sarat Chandarlapaty,"Nuvalent, Inc.",Advisor (Professional Services),https://www.mskcc.org/research/ski/labs/members/sarat-chandarlapaty
Sarat Chandarlapaty,"Pathos AI, Inc.",Equity Holder / Advisor (Professional Services),https://www.mskcc.org/research/ski/labs/members/sarat-chandarlapaty
Sarat Chandarlapaty,Totus Medicines Inc.,Equity Holder,https://www.mskcc.org/research/ski/labs/members/sarat-chandarlapaty
Shyamasundaran Kottilil,MitoPower LLC,Leadership Team Member,https://www.inknowvation.com/sbir/companies/mitopower-llc
Soumya Raychaudhuri,Mestag Therapeutics,Founder,https://www.mestagtherapeutics.com/about/
Soumya Raychaudhuri,Rheos Medicines,Scientific Advisory Board Member,https://www.businesswire.com/news/home/20220414005175/en/Rheos-Medicines-Announces-New-Scientific-Advisory-Board-Members
Trever Bivona,Revolution Medicines,Scientific Advisor,https://theorg.com/org/revolution-medicines/org-chart/trever-bivona
