nct_id,drug_name,approval_type,approval_date,approval_year,sponsor
NCT05538962,Rifaximin SSD 40 mg IR tablet,SUPPL,20021104,2002,FRESENIUS MEDCL CARE
NCT05538962,Albumin Infusion,SUPPL,20040624,2004,USPHARMA
NCT05376488,Rifaximin SSD 40 mg IR tablet,SUPPL,20021104,2002,FRESENIUS MEDCL CARE
NCT05376488,Albumin Infusion,SUPPL,20040624,2004,USPHARMA
NCT04082780,Rifaximin SSD 40 mg IR tablet,SUPPL,20021104,2002,FRESENIUS MEDCL CARE
NCT04082780,Albumin Infusion,SUPPL,20040624,2004,USPHARMA
NCT04082780,Rifamycin SV MMX,SUPPL,20190705,2019,THERATECHNOLOGIES
NCT03796598,Rifaximin SSD 40 mg IR tablet,SUPPL,20021104,2002,FRESENIUS MEDCL CARE
NCT03796598,Albumin Infusion,SUPPL,20040624,2004,USPHARMA
NCT03796598,Rifamycin SV MMX,SUPPL,20190705,2019,THERATECHNOLOGIES
NCT03796598,Fecal Microbial transplant Capsules,ORIG,20230825,2023,PRINSTON INC
NCT03796598,Fecal Microbial Transplant Enema,SUPPL,20020123,2002,TEVA PHARMS
NCT03585257,Rifaximin SSD 40 mg IR tablet,SUPPL,20021104,2002,FRESENIUS MEDCL CARE
NCT03585257,Albumin Infusion,SUPPL,20040624,2004,USPHARMA
NCT03585257,Rifamycin SV MMX,SUPPL,20190705,2019,THERATECHNOLOGIES
NCT03585257,Fecal Microbial transplant Capsules,ORIG,20230825,2023,PRINSTON INC
NCT03585257,Fecal Microbial Transplant Enema,SUPPL,20020123,2002,TEVA PHARMS
NCT03564626,Rifaximin SSD 40 mg IR tablet,SUPPL,20021104,2002,FRESENIUS MEDCL CARE
NCT03564626,Albumin Infusion,SUPPL,20040624,2004,USPHARMA
NCT03564626,Rifamycin SV MMX,SUPPL,20190705,2019,THERATECHNOLOGIES
NCT03564626,Fecal Microbial transplant Capsules,ORIG,20230825,2023,PRINSTON INC
