nct_id,drug_name,approval_type,approval_date,approval_year,sponsor
NCT00957528,Growth Hormone Releasing Hormone (GHRH),ORIG,19811105,1981,PADAGIS US
NCT00957528,Growth Hormone,ORIG,19811105,1981,PADAGIS US
NCT00957528,Sildenafil,ORIG,20190531,2019,NOVITIUM PHARMA
NCT00957528,Testosterone injection,ORIG,20210210,2021,NEPHRON
NCT00957528,Testosterone gel,ORIG,20220913,2022,COSETTE PHARMS NC
NCT00957528,Medrol,SUPPL,20140404,2014,PHARMACIA AND UPJOHN
NCT00957528,Recombinant human growth hormone,SUPPL,20020809,2002,HALEON US HOLDINGS
NCT00957528,Testosterone,SUPPL,20190627,2019,PADAGIS ISRAEL
NCT00006271,Testosterone Enanthate,SUPPL,20190627,2019,PADAGIS ISRAEL
NCT00006271,Somatropin,SUPPL,20010921,2001,PHARMACIA
NCT00006271,Growth Hormone Releasing Hormone (GHRH),ORIG,19811105,1981,PADAGIS US
NCT00006271,Growth Hormone,ORIG,19811105,1981,PADAGIS US
NCT00006271,Sildenafil,ORIG,20190531,2019,NOVITIUM PHARMA
NCT00006271,Testosterone injection,ORIG,20210210,2021,NEPHRON
NCT00006271,Testosterone gel,ORIG,20220913,2022,COSETTE PHARMS NC
NCT00006271,Medrol,SUPPL,20140404,2014,PHARMACIA AND UPJOHN
NCT00006271,Recombinant human growth hormone,SUPPL,20020809,2002,HALEON US HOLDINGS
NCT00006271,Testosterone,SUPPL,20190627,2019,PADAGIS ISRAEL
NCT00006270,Testosterone Enanthate,SUPPL,20190627,2019,PADAGIS ISRAEL
NCT00006270,Somatropin,SUPPL,20010921,2001,PHARMACIA
NCT00006270,Growth Hormone Releasing Hormone (GHRH),ORIG,19811105,1981,PADAGIS US
NCT00006270,Growth Hormone,ORIG,19811105,1981,PADAGIS US
NCT00006270,Sildenafil,ORIG,20190531,2019,NOVITIUM PHARMA
NCT00006270,Testosterone injection,ORIG,20210210,2021,NEPHRON
NCT00006270,Testosterone gel,ORIG,20220913,2022,COSETTE PHARMS NC
NCT00006270,Medrol,SUPPL,20140404,2014,PHARMACIA AND UPJOHN
NCT00006270,Recombinant human growth hormone,SUPPL,20020809,2002,HALEON US HOLDINGS
NCT00006270,Testosterone,SUPPL,20190627,2019,PADAGIS ISRAEL
NCT00006270,cosyntropin,ORIG,20120629,2012,SANDOZ
NCT00006270,metyrapone,SUPPL,20140814,2014,ESTEVE
NCT04881240,Cyclophosphamide,ORIG,20141031,2014,HENGRUI PHARMA
NCT04881240,Fludarabine,SUPPL,20150614,2015,SAGENT PHARMS INC
NCT04881240,Mesna,ORIG,20040109,2004,HIKMA
NCT01512888,Cyclophosphamide,ORIG,20141031,2014,HENGRUI PHARMA
NCT01512888,Fludarabine,SUPPL,20150614,2015,SAGENT PHARMS INC
NCT01512888,Mesna,ORIG,20040109,2004,HIKMA
NCT01512888,Busulfan,SUPPL,20240722,2024,ACCORD HLTHCARE INC
NCT00889954,Cyclophosphamide,ORIG,20141031,2014,HENGRUI PHARMA
NCT00889954,Fludarabine,SUPPL,20150614,2015,SAGENT PHARMS INC
NCT00889954,Mesna,ORIG,20040109,2004,HIKMA
NCT00889954,Busulfan,SUPPL,20240722,2024,ACCORD HLTHCARE INC
NCT00695279,Cyclophosphamide,ORIG,20141031,2014,HENGRUI PHARMA
NCT00695279,Fludarabine,SUPPL,20150614,2015,SAGENT PHARMS INC
NCT00695279,Mesna,ORIG,20040109,2004,HIKMA
NCT00695279,Busulfan,SUPPL,20240722,2024,ACCORD HLTHCARE INC
NCT00516087,Cyclophosphamide,ORIG,20141031,2014,HENGRUI PHARMA
NCT00516087,Fludarabine,SUPPL,20150614,2015,SAGENT PHARMS INC
NCT00516087,Mesna,ORIG,20040109,2004,HIKMA
NCT00516087,Busulfan,SUPPL,20240722,2024,ACCORD HLTHCARE INC
NCT00515957,Cyclophosphamide,ORIG,20141031,2014,HENGRUI PHARMA
NCT00515957,Fludarabine,SUPPL,20150614,2015,SAGENT PHARMS INC
NCT00515957,Mesna,ORIG,20040109,2004,HIKMA
NCT00515957,Busulfan,SUPPL,20240722,2024,ACCORD HLTHCARE INC
NCT00383097,Cyclophosphamide,ORIG,20141031,2014,HENGRUI PHARMA
NCT00383097,Fludarabine,SUPPL,20150614,2015,SAGENT PHARMS INC
NCT00383097,Mesna,ORIG,20040109,2004,HIKMA
NCT00383097,Busulfan,SUPPL,20240722,2024,ACCORD HLTHCARE INC
NCT00078546,Cyclophosphamide,ORIG,20141031,2014,HENGRUI PHARMA
NCT00078546,Fludarabine,SUPPL,20150614,2015,SAGENT PHARMS INC
NCT00078546,Mesna,ORIG,20040109,2004,HIKMA
NCT00078546,Busulfan,SUPPL,20240722,2024,ACCORD HLTHCARE INC
NCT06948955,Sunitinib,ORIG,20211206,2021,MYLAN
NCT06843967,Sunitinib,ORIG,20211206,2021,MYLAN
NCT06843967,Mirdametinib,ORIG,20250211,2025,SPRINGWORKS
NCT06843967,Palbociclib,SUPPL,20190909,2019,PFIZER
NCT06127407,Sunitinib,ORIG,20211206,2021,MYLAN
NCT06127407,Mirdametinib,ORIG,20250211,2025,SPRINGWORKS
NCT06127407,Palbociclib,SUPPL,20190909,2019,PFIZER
NCT06127407,Ivosidenib 500mg,SUPPL,20191010,2019,SHILPA
NCT04969835,Sunitinib,ORIG,20211206,2021,MYLAN
NCT04969835,Mirdametinib,ORIG,20250211,2025,SPRINGWORKS
NCT04969835,Palbociclib,SUPPL,20190909,2019,PFIZER
NCT04969835,Ivosidenib 500mg,SUPPL,20191010,2019,SHILPA
NCT02601209,Sunitinib,ORIG,20211206,2021,MYLAN
NCT02601209,Mirdametinib,ORIG,20250211,2025,SPRINGWORKS
NCT02601209,Palbociclib,SUPPL,20190909,2019,PFIZER
NCT02601209,Ivosidenib 500mg,SUPPL,20191010,2019,SHILPA
NCT02601209,Pazopanib,ORIG,20231019,2023,TEVA PHARMS INC
NCT02601209,Pazopanib Hydrochloride,SUPPL,20171221,2017,KENVUE BRANDS
NCT02257541,Sunitinib,ORIG,20211206,2021,MYLAN
